origin_tweet_full_text,retweet_count
"Inilah yg harus dipahami bahwa vaksin harus paralel dgn kedisiplinan. Disiplin tidak cukup hanya untuk diri sendiri, tapi harus ditularkan kepada seluruh orang yang ada di sekitar kita  Patuhi Protokol Kesehatan, Vaksinasi Covid-19 Dilakukan Paralel https://t.co/PzX6dtJDul",8
Vaksin Covid-19 Tiba Di Bukitttinggi Dengan Pengawalan Polres Bukittinggi &gt;&gt; https://t.co/XCGf7ZEi2j,7
"Presiden Joko Widodo diagendakan menerima suntikan dosis pertama vaksin virus corona (Covid-19) Sinovac, Rabu (13/1). Proses penyuntikan vaksin bakal dilakukan di Istana Kepresidenan, Jakarta. #VaksinasiMelawanPandemi https://t.co/jFU7F25UGV",7
"Ya Allah Yang Maha Penyanyang, angkatlah penyakit Covid-19 dari bumi Kelantan &amp; seluruh Malaysia. Aaminn",7
"@GeiszChalifah Alasan jokowi tdk mau pilkada dugelar 2022 dan 2023 krn msh covid 19 , la kok enak bener,  pake sesuka hati,  kmrn anak mantu pilkada di tengah kovid dibolehkan,  katanya kerumunannya dilindungi UU,  trus sekarang beda lg,  somplak bener",7
"Dalam rangka mewujudkan transportasi yang sehat dan aman di masa pandemi, Kementerian Perhubungan menerbitkan petunjuk teknis untuk meminimalisir penyebaran Covid-19 di sektor transportasi, salah satunya di sektor perkeretaapian. https://t.co/G61jPOcDEm",6
"Baru-baru ini, sebuah video seorang tenaga medis memakai APD lengkap menyatakan bahwa setelah 10 hari, seorang pasien Covid-19 tanpa gejala tidak akan bisa menularkan Covid-19, viral di sejumlah media sosial. https://t.co/9p9UNUQ15r https://t.co/TQKkUJfXTn",6
"Para santri Yahudi garis lempeng (ultra-ortodoks) mengamuk di Israel gegara ponpes dan madrasah mereka di-lockdown. Mbah yai mereka kasih fatwa bahwa Covid itu konspirasi anti-Yahudi.  Mereka selama ini anti prokes, tetap bikin pengajian, hajatan, doa bareng, dst. https://t.co/s1wa8rWlvf",6
"Setiap hari yang di blow up media hanya covid. Padahal musim hujan kasus penyakit diare, difteri, malaria, dbd dll naik jumlahnya. https://t.co/ZBBUE6Q4JY",6
"Pak Anies ini yang dijanjikan minggu depan itu??

Oh ternyata minggu depan maksudnya tahun depan.. 🤣🤣🤣 https://t.co/ifQ6pZhKqm https://t.co/0XEiy1XMOc",5
"Anies Baswedan berupaya menangani pandemi Covid-19 di antaranya meningkatkan kapasitas dr fasilitas kesehatan yg sudah ada.  Warganet mengatakan, kebijakan Pemprov DKI sudah bagus, namun tdk diikuti kebijakan pemerintah pusat sehingga bertabrakan.  ⬇️⬇️⬇️ https://t.co/Lr7srFVZHS https://t.co/kb9dwVE0Ek",5
Angka kematian akibat COVID-19 terus mencatatkan rekor tertinggi. Ini menandakan pandemi yang tak terkendali dan sistem kesehatan akan bangkrut.  https://t.co/XsvL1EWViu,5
Majikan hanya perlu membiayai kos perkhidmatan yang dikenakan oleh klinik atau hospital.  https://t.co/tZR4Ig4FpN,5
Mendagri Tito Karnavian mengusulkan agar dana insentif daerah (DID) diberikan untuk pemerintah daerah (pemda) yang berprestasi dalam program vaksinasi Covid-19.  @kemendagri  https://t.co/q7FeuCALYI,5
Jalan-jalan ke Setu Babakan Di pinggir danau makan pisang kepok Nyok terapin protokol kesehatan Lawan COVID-19 ampe kapok   #JagaJakarta #Covid19 #pandemibelumusai #JakartaTanggapCorona #HadapiBersama https://t.co/i38hebzggP,5
Bhabinkamtibmas Polsek Koto VII Bripka Jekhie Mirazando mengajak warga untuk tetap mematuhi protokol kesehatan Covid-19 https://t.co/xah0WbS21l,5
"Kok anies cerdas yah
Gatuk omonganya, bukan asal bunyi https://t.co/EG0JAEPMr4",5
"Pandemi covid-19 membuat klub-klub sepak bola di seluruh dunia terdampak secara finansial dan olahraga.  Dari daftar 20 tim terkaya di dunia yang dirilis oleh Deloitte, ada beberapa kejutan.  Siapa saja klub terkaya di dunia saat ini?  Baca selengkapnya ⬇️ https://t.co/gbK3juJm2b",5
Bersyukur &amp; berbahagialah bila sampai hari ini kita msh bisa berakhir pekan bersama keluarga yg utuh...di luar sana berapa banyak krn Covid: -Anak kehilangan orangtuanya -Orang tua kehilangan anaknya -Suami kehilangan istri -Istri kehilangan suami -Bahkan ada hilang satu keluarga,5
"#BHnasional Strategi paling baik bagi menentang COVID-19 adalah pencegahan, kawal diabetes dengan baik  https://t.co/GWz4gHEwBA",5
"Bravo Pak @aniesbaswedan ...
Kami percaya bapak..👍👍 https://t.co/Vd8IrXDRIg",5
"Aku pribadi nggk ada chanel atau informasi terkait lowongan kerja untuk saat ini, mungkin minta tolong jika temen2 ada bisa langsung menghubungi beliau 
(085766751202), minta tolong bantuanya juga untuk sebar postingan ini biar jangkauan dan informasinya lebih banyak didapat",5
menunggu juga https://t.co/yBmHcbsZCn,4
Mendagri Usul Beri Dana Insentif Bagi Pemda Berprestasi Program Vaksinasi Covid-19  Saya mengucapkan apresiasi yang tinggi kepada rekan-rekan kepala daerah yg tadi bisa melakukan vaksinasi dgn cepat. Kita semua perlu belajar kepada kepala daerah tersebut.  https://t.co/XPMvX5bsb4,4
13 Januari 2021 adalah hari yang ditunggu karena hari ini perdana pelaksanaan vaksinasi Covid-19. Dukung dan sukseskan pelaksanaan vaksinasi Covid-19! #VaksinasiMelawanPandemi https://t.co/YkLpdvMj02,4
